code,population,child_proportion,older_person_proportion,median_age,population_density,born_outside_uk_proportion,road_traffic_incidents,employment_rate,median_house_price,median_household_income,apartment_proportion,household_ownership_rate,social_renting_proportion,private_rental_proportion,higher_level_qualification_proportion,crime_rate,open_space_proportion,cars_per_household,pt_access_score,bike_to_work_trips
E05000179,15750,19.1,14,35,4787.9,53.1,5,71.9,519000,44760,48.2,54.2,4.7,38.1,50.8,60.4,26.7,1,3.7,175.7
E05000180,14300,22.5,12.1,35,6522.7,40.7,2,70.6,386250,36220,36.2,54,25.2,19,33.3,44.2,36.1,0.9,3.1,212.6
E05000181,14100,19.7,12.2,34,9433.3,55.9,1,66.6,285000,32520,12.2,69.4,7.3,21.3,25.4,46.2,19.4,1.3,3,63.7
E05000182,13700,19.6,11.7,36,9133.3,36.2,1,78.6,615000,48480,34,66.3,6.7,25.6,54.8,44.5,25.6,0.9,3.4,342.9
E05000183,14900,20.5,12.9,34,4656.3,51.4,0,72.3,345000,36480,20.2,66.5,8.3,22.9,30.1,51.8,53.3,1.2,2.6,87.2
E05000184,15350,23.4,12.1,34,5482.1,44.1,6,67.3,300000,31950,40.8,53.3,24.2,19.4,25.7,63.3,34.5,0.9,3.2,67.2
E05000185,15200,26,10.2,32,4371.4,41.5,10,61.9,226111,28550,53.1,43,34.5,19.2,21.7,67.5,56.3,0.9,2.5,66.6
E05000186,14200,20.8,11.4,33,3750,50.7,2,57.3,257500,29020,42.2,42.6,34.7,17.7,26.7,91.1,54.5,1.1,2.3,93.9
E05000187,15450,20.6,12.5,34,4573.5,55.4,4,71.4,367500,36040,23.7,62.3,8.5,27,30.8,73.3,38.3,1.1,2.3,188.6
E05000188,16200,20.6,10.8,33,9205.9,50.5,5,68.1,440000,34300,73.2,32.8,33.9,29.2,39.4,88.7,17.5,0.7,4.6,298.3
E05000189,16200,22.7,10,31,9343.8,64.1,8,59.1,250000,27930,24.8,54.6,16.4,24.9,21.9,107.9,14.1,0.9,3.2,54.3
E05000190,15200,23.8,8.9,31,9406.3,63.3,3,59.7,243000,27150,27.6,51.4,13.6,31.5,21.6,83.9,16.3,0.9,3,78.5
E05000191,13600,18.6,11.5,36,9714.3,36.2,1,77.6,780000,50170,51.1,57.1,9.8,31.3,57.8,64.5,14.3,0.8,3.1,471.3
E05000192,13500,19.1,11.5,35,9033.3,38,4,77.3,612500,46240,44.6,56.7,12,28.8,53.7,73.8,20.1,0.8,3.8,375.6
E05000193,14550,18.2,11.3,34,9733.3,47.5,5,71.9,319995,36300,45.5,55.2,10.7,32.1,36.3,50.8,15.3,0.8,3.9,153.1
E05000194,14150,17.6,18.4,40,5720,25.7,3,73,360200,41800,28,78.5,5.2,15.1,32.6,53.9,29.6,1.3,2.7,105.4
E05000195,14000,22.3,13.9,36,834.3,21,5,69.5,324000,36350,37.1,60.4,21.3,15.7,28.1,55.8,81.5,1.1,2,117.4
E05000196,14100,16.1,19.4,39,1370.2,30.5,2,66.9,472000,43570,38.6,68.7,12,17.4,35,46.4,68.8,1.3,2.6,41.2
E05000197,18350,27.1,8.8,30,5951.6,46.8,2,53.8,210000,26010,58.7,29.7,43.1,23,19.5,117.7,33.2,0.6,3.9,73.7
E05000198,16350,24.9,10.9,31,3576.1,34.3,3,60.1,250000,29450,34.6,52.5,24.4,20.7,18.6,82.4,40.6,1,2.5,103.9
E05000199,17000,26.4,8.3,31,5166.7,33.8,2,62,217250,30240,40.2,49.9,22.7,24.1,23.5,69.2,39.6,0.9,2.6,112
E05000200,13300,17.3,19.6,41,4015.2,22.1,1,74.8,360000,45960,38.4,77.2,3.4,18,39.1,59.4,27.4,1.3,3.1,72.5
E05000201,16500,24.5,10.2,32,9277.8,46,3,59.3,260000,29600,31.9,50.7,19.5,27.5,21.4,61.1,27,0.8,3,69.2
E05000202,13550,16.4,19.3,41,2647.1,20.9,2,72.9,375000,43540,38,74.2,7.4,17,35.1,40.4,56.4,1.2,2.7,73.4
E05000203,14600,24.1,11.9,34,3782.1,40.8,2,62.2,250000,30800,27.5,57.7,15.5,24.8,20.9,58.8,60.6,1,2.5,57.4
E05000204,16700,28,10.2,31,7681.8,46.1,2,57.9,248000,28110,33.3,44.8,27.4,24.4,20,56.2,40.6,0.7,3.2,72.7
E05000205,15650,18.5,14.2,35,8263.2,41.4,3,70.2,353500,37970,35.9,63,9,25.4,33.5,70.3,15.4,1,2.5,108.4
E05000206,17050,25.7,9.1,30,4771.4,43.5,1,58,248000,28560,45,45.5,25.6,25.4,21,80.6,44.5,0.8,3.3,82.6
E05000207,14950,24.7,10.2,33,5172.4,30.2,3,65,265000,33260,39.2,53.5,24,21,25.4,98.8,29.3,0.9,3.1,123.7
E05000208,14800,19.2,13.9,36,5537,33.2,1,71.1,347500,41520,49,61.7,7.4,28.3,41.2,62.6,27.1,1.1,3.1,55.1
E05000209,14400,17.9,15.7,37,5538.5,36.2,2,70.4,500000,42750,36.4,65.3,12,21.4,40,43.2,20.6,1.1,3.9,97
E05000210,15150,19.8,15.9,39,6954.5,17.1,4,75.9,350000,42300,31.5,74.7,6.1,17.3,33,50.3,16,1.2,2.6,117.6
E05000211,14700,24.4,11.8,33,6434.8,31,1,60.9,250000,28960,33.1,52.1,26.3,19.1,17.9,74.5,30.5,1,2.5,88.1
E05000212,18600,25.7,9.3,31,6777.8,48.4,4,58.4,250000,28480,37.3,44,29.8,24,21.5,120.2,17.6,0.8,3.4,85.8
E05000213,13700,18.6,15.4,39,4928.6,27,1,75.1,435000,45880,40.3,69.9,6.4,22.2,42.9,43.7,25.2,1.2,2.9,94
E05000214,16200,26.4,10.2,33,5722.2,32,3,63.6,250000,31540,37.5,44.4,38.9,15.2,24.2,77.6,44,0.7,3.1,63.5
E05000215,13300,17.3,15.1,38,6047.6,23,0,75.5,427500,49160,66.3,49.9,22.4,25.4,57.5,76.6,15.4,0.8,3.4,320.4
E05000216,14650,22.6,11.2,34,7050,31,0,67.7,363000,37940,47.5,41.7,41.1,15.9,37.2,60.7,31.5,0.7,4,203.7
E05000217,13450,17.4,18.1,40,5180,15.6,0,70.7,325000,38390,24.6,65.5,23.5,9.8,23.4,58.1,20,1.1,2.9,71.5
E05000218,12900,17.6,18.5,42,4788.5,13.9,2,75.1,345000,43120,20.9,73.1,17,8.4,31.8,67.2,24.6,1.1,2.9,133.9
E05000219,13100,15.8,15.7,34,2717.4,17.5,2,64.9,288750,37120,44.4,59.8,22.4,15,25.1,75.9,54.6,1,3.3,88.6
E05000220,12500,21.5,11.6,35,4666.7,21.3,3,64,315500,34250,14.5,45.3,44.1,8.3,21.2,59.9,30.5,0.9,3.1,65.6
E05000221,18500,23.6,7.6,32,10441.2,42.2,1,62.5,224995,31690,51.5,30.4,41.4,24.7,28.6,60.9,32.6,0.6,4,103.5
E05000222,18450,18.8,7.9,32,6053.6,34.8,4,68.6,450000,42270,71.7,32,35.7,28.8,49.9,104,49,0.6,4.6,356.4
E05000223,14650,19.7,12.5,35,5854.2,27.3,1,67.3,260050,35740,35.7,50.1,32.1,15.9,30.8,70.3,28.2,0.9,2.6,182.7
E05000224,13900,20.8,15.7,37,4045.5,22.3,1,65.6,292755,35340,41.5,50.4,37.3,10.9,29.6,64.4,37,0.9,2.3,158.3
E05000225,24500,19,6.2,31,4155.6,33,7,74.2,379000,41840,52.3,36.8,30.6,30,49.5,107.6,33.7,0.6,4.5,335.3
E05000226,17050,23.1,9.3,33,6854.2,41.7,1,63.9,249000,32390,27.7,47.4,27.3,23.3,25.2,78.7,41,0.7,3.6,65.5
E05000227,13750,20.2,13.8,38,3486.8,23.8,0,69.5,270000,39030,24.2,64.3,19.5,14.4,31.3,46.3,57.2,1,2.4,137.3
E05000228,22200,29.1,5.1,30,4218.8,41.8,2,62.9,190000,34450,45.8,32.7,38,25.3,32.4,70.5,55.4,0.7,2.6,82.7
E05000229,19550,26.7,6.2,30,6903.8,41.8,2,60.5,267500,30260,62.2,21.9,50,24.7,26.7,103,39.4,0.6,4,177.8
E05000230,23050,24,6.3,31,6359.4,39.4,7,64.7,266250,33540,77.7,19,50,25.2,35.2,112.8,34.9,0.5,4.5,138.9
E05000231,13300,13.8,5.7,31,15187.5,42.7,4,72,440000,40070,87.2,26.1,32,38.5,51.7,87.3,25.6,0.4,6.1,684.1
E05000232,13800,29.3,6.3,29,19214.3,36.4,1,64.8,375000,38130,77.7,25.7,33.8,37.2,35.6,49.7,12.8,0.4,4.7,712.3
E05000233,13950,21.1,6.9,31,15055.6,41.3,5,63,415000,32510,81.5,20.3,51,24.6,37.6,115.3,20.4,0.4,5.8,877.6
E05000234,12650,19.3,7.4,33,17642.9,32,1,73.3,499950,45450,72.4,37,34,25.7,53.5,75.4,12.3,0.5,3.6,1263.1
E05000235,15950,16.6,6.3,31,17000,40.8,4,70.4,485000,38230,79.2,23.1,38.9,34,48.6,158.6,17.1,0.4,6,1467.8
E05000236,15200,15.8,7.1,31,16000,37.8,2,71.1,480000,39060,81.9,23.9,39.9,29.8,49.8,147.9,14.2,0.4,4.9,1051.3
E05000237,13200,17.5,7.7,32,16000,40.5,2,66.6,450000,35260,83,19.7,50.7,27,42,114.6,14.1,0.3,6.7,1054.6
E05000238,13400,19.5,7.5,32,13100,39.5,4,65.1,433000,35700,79.6,24.4,43.1,29.3,42.2,80,33.8,0.4,5.5,1099.9
E05000239,15250,14.5,5.8,31,12166.7,45.9,9,67.4,452500,36080,93.3,16.1,44.1,36.2,45.8,162.3,19.1,0.3,5.7,874.2
E05000240,16300,15,6.2,30,19750,44.8,2,62.7,475000,34970,95.8,16.6,54.3,24.6,41.7,127.2,27.6,0.3,5.8,770.8
E05000241,11650,24.1,9.5,31,6305.6,43.3,1,57.6,383000,31970,63.9,24.4,57.9,15.8,30.6,68,66.9,0.5,2.9,558.2
E05000242,14600,20.1,7.3,31,12954.5,40.7,1,65.6,375000,35110,66.6,30,32,35,41.5,79.9,23,0.5,4.3,1052.6
E05000243,12700,28.6,8.2,29,10333.3,31.4,2,64.6,420000,39940,75.8,28.8,37,31.5,40.4,66.5,33.6,0.5,3.7,692.1
E05000244,14500,29.2,7.5,28,13450,40.2,8,58.2,340000,35590,80.3,19.8,44.5,32.4,26.6,63.1,28,0.4,5,305.6
E05000245,14450,16.6,8.1,32,12727.3,38.3,3,67.7,465000,36720,74.4,21.2,50.1,24.9,44.6,116.8,15.6,0.4,4.8,1311.8
E05000246,12800,32.7,7.5,27,12500,39.4,2,53.8,285000,33570,75.7,21.4,47,28.1,21.9,73.7,26.5,0.4,3.2,275.6
E05000247,13050,16.1,7.8,33,18214.3,36.6,2,73.4,483125,42400,67.6,33.3,32.2,32.8,52.4,93.3,13.3,0.4,5.3,1322
E05000248,13750,20.1,7.5,32,16812.5,34,1,65.6,471250,37350,76,23.9,52.3,20.6,41.8,93,21,0.4,4.7,987.7
E05000249,12350,20.9,7.7,31,7500,35.1,2,60.4,340000,32890,69.6,20.1,53.8,21,34.4,99.8,48.8,0.5,3.9,722.6
E05000250,11650,16.1,7.9,33,19083.3,44.1,5,76.2,572500,43970,83.5,35.8,24.9,37.9,57.4,107.4,0.3,0.5,6.5,515.5
E05000251,14300,17.8,8.4,33,17562.5,42.5,0,71.8,499999.5,38450,78.1,31.7,34.8,29.5,45.1,75.4,3.6,0.5,3.6,678.3
E05000252,12700,12.2,11,33,13722.2,52.2,6,69.5,618250,43350,89,34.3,21.9,41.4,54.5,70.5,8.8,0.5,6,414.1
E05000253,10700,19.5,8.2,32,2897.1,45.7,5,62.6,458000,30890,49.3,20.2,55.9,18.3,31.9,115.7,43.8,0.4,4.9,191.5
E05000254,11550,14.4,10,32,16000,43.9,4,72.4,805000,42130,75.3,28.3,36.2,32.8,47.7,95.2,3.1,0.5,5.4,473
E05000255,11800,13.1,8.5,31,12777.8,43.6,5,71,786250,42010,65.5,34.5,31.9,31.2,51.6,98.6,20.9,0.5,4.2,506.5
E05000256,12250,16.3,10.4,32,10954.5,40.5,12,69.9,741250,39500,76.6,27.8,39.9,29.8,45.3,224.9,9.1,0.5,6,449.8
E05000257,11150,17.1,8.9,32,18250,38.3,1,76.7,745000,50240,60.8,44.8,18.1,35.2,56.9,64.5,8.5,0.7,3.7,562.2
E05000258,12650,12.8,6.7,31,20083.3,47.9,2,72.7,558000,39510,89.1,27.9,28.6,40.7,52.6,64.6,10.7,0.4,5.2,421.9
E05000259,7600,18.2,15.3,37,5000,34.1,2,74.3,950000,53330,66.2,56.7,14.2,25.2,56.2,90.8,54.7,0.9,3.7,364.6
E05000260,10850,19.3,11.2,34,11944.4,38.2,4,73.7,1330000,55720,54.6,47.9,20.6,29.4,56.4,124.8,9.8,0.8,4.7,371.5
E05000261,11000,17.7,12.2,35,9000,37.3,0,72.2,704000,45510,61.5,42.7,23.2,31,55.1,101.1,16.3,0.6,4,464.6
E05000262,13550,18.9,8.6,32,9321.4,39,5,69.3,827750,44170,77.2,33.8,33.9,26.5,47.6,69.6,25,0.6,3.4,501.9
E05000263,12950,16.2,8,32,11318.2,47.2,8,72,440000,36430,80.6,24,37.9,34.8,46.5,281.4,9.7,0.4,5.6,537
E05000264,11350,17.9,7.8,31,15928.6,40.5,5,76.4,690000,47940,73.5,35.8,23.7,37,57.9,100.7,0,0.6,4.6,449.3
E05000265,13750,21.5,9.4,31,14944.4,45,1,62.2,427500,31860,68.8,26,52.3,18.6,32,71.9,4.6,0.5,3.2,358.7
E05000266,12050,20.4,11.3,37,4596.2,26.8,3,76.7,625000,51450,49.5,65.7,9,24.3,58.5,63.6,52.2,1,3.3,284.7
E05000267,14400,17.6,9.4,33,10035.7,48.5,2,69,332350,34550,65.9,35.3,28.4,32.7,37.3,82,22.8,0.6,4.9,177.4
E05000268,15050,21.7,8.3,32,16388.9,55.5,5,61.8,325000,30340,53.1,35.9,28.2,32.2,27.6,85.2,4.9,0.5,4.5,278.6
E05000269,12800,16.2,10.2,36,8964.3,29.2,3,80.9,563750,52070,75.5,50.6,10.2,37.3,67,67.3,13.9,0.7,3.4,572.8
E05000270,13000,19.4,11.5,35,6400,27.5,5,75.9,465000,49950,53,53.6,11.2,33.2,58.4,57.9,24,0.9,3.1,327.6
E05000271,14100,15.1,7.6,32,8562.5,49.2,5,71.8,430000,37150,66.2,38.1,13.9,45.6,46.6,89.5,45.4,0.5,5.3,503.5
E05000272,12100,14.8,11.9,35,4740,31.5,7,79,732500,53710,67.8,49.4,11.1,37.4,65.7,56.6,41.8,0.8,4,395.5
E05000273,13100,17.7,9.1,34,11727.3,32.2,0,72.4,419000,40260,70.8,39.8,29.5,27.9,51.5,67.2,10,0.6,3.4,466
E05000274,11050,16.9,13.5,37,6411.8,26.1,0,78.4,820000,53910,53.6,58.5,9.4,30.5,62.8,71.7,30.7,0.9,3.2,390.9
E05000275,14700,17.8,8.2,31,11958.3,51.7,10,63.2,350000,30620,50.1,28.2,38.2,29.3,33.8,200.7,11.5,0.5,6.1,204.2
E05000276,15150,25.1,7.8,31,7763.2,53.5,10,52.3,252500,25090,66.3,20.5,48.6,25.5,20.2,130.5,23,0.5,4.1,108.1
E05000277,16100,17.6,8,32,14000,54.7,7,65.6,370000,32460,54.7,37.7,23.6,35.6,35.2,71,20,0.5,3.9,422.3
E05000278,16650,25.3,7.6,30,12500,49.1,6,63.7,372500,33500,55.8,31.2,31.8,33.1,29,80,21.8,0.5,4.7,353.6
E05000279,12250,15.5,7.8,34,10909.1,31.3,0,77.3,477500,44780,76.2,43.5,22.9,31.9,60.5,54,24.7,0.6,4.6,628.4
E05000280,15900,20.7,8.1,32,10928.6,55,4,61.3,326500,28920,59.6,26.8,39.2,30,29.2,134.5,10.5,0.4,5.8,261.5
E05000281,17300,22.2,7.6,29,8552.6,53.5,7,56.3,251500,27340,54.4,31.2,39.2,26.3,23.1,103.7,29,0.5,4.7,133.8
E05000282,14050,18.3,9.8,32,9821.4,54.6,4,63.3,350000,31110,57.6,33.7,36,27.7,30.6,80.4,38.2,0.5,4.1,251.5
E05000283,13950,23.9,8.2,31,8058.8,44.6,4,54.8,267000,27010,28.8,29.8,48.7,18.4,20.7,82.1,27.9,0.6,3.3,104
E05000284,15400,18.3,8.8,32,10000,54.2,4,66.6,345000,32010,54.4,37.6,23.2,36.4,32.9,84.2,26.8,0.6,4.7,153.8
E05000285,11650,20.4,14.8,37,6444.4,41.6,0,71.8,435000,42380,8.7,81.6,3.7,13.2,36.4,35.3,11,1.5,2,26.8
E05000286,13500,19.3,18.8,38,2339.3,40.1,4,71.9,402500,39890,44.5,66.5,10.2,20.4,40.8,42.1,57.3,1.3,2.7,27.8
E05000287,12050,21.1,12.4,33,8571.4,56.5,3,68.6,357500,33600,22.1,63.5,10.3,24.2,29.4,52.6,14.9,1.1,2.9,21.8
E05000288,13100,19.1,10.4,33,7617.6,52.7,7,71.1,272000,37550,65.1,42.9,11.4,42.5,46,129.9,7.7,0.8,4.6,57.8
E05000289,12850,21.9,12.5,34,3527.8,44.2,2,68.2,343000,39630,51.5,52.7,13.8,28.8,41.8,57.3,43.4,1,3.1,56.5
E05000290,11650,19,17.8,39,2532.6,36.7,1,69.1,384000,36940,21.1,68.4,15.9,13.7,32.3,47,56.3,1.3,2.8,29.8
E05000291,10950,18.6,20.3,42,3303,33,2,73.2,500000,42350,26.7,74.9,8.5,14.6,41.8,41.5,31,1.4,2.3,28.9
E05000292,10400,17.2,18,40,3136.4,37,7,73.8,427500,44470,16.8,80.5,4,13.3,43.6,40.9,49.5,1.4,2.7,48.7
E05000293,11600,20.4,12.9,35,7666.7,44.2,1,71.7,322500,39090,37.5,65.4,7.2,25.1,43,39.7,14.4,1.1,3.1,75.7
E05000294,11500,18.5,13.5,35,8846.2,57.1,3,68.5,380000,32880,17.6,61.3,14.8,21.1,27.6,33.5,7.2,1.2,2.5,10.5
E05000295,11550,17.3,15.6,36,6388.9,51.3,2,71.6,434475,38400,11,78.5,3,16,34.1,40,17.9,1.4,2.9,27.2
E05000296,13000,22.4,10.7,33,8000,51.6,6,68.4,268950,34450,44.1,55,11.1,30.8,35.5,60.9,8.3,0.9,3.8,80.6
E05000297,10300,18,21.1,42,3106.1,31.7,2,71.8,400000,43950,36.8,68.7,14.6,14.8,44.3,44.7,28.6,1.3,1.8,40.2
E05000298,10650,20.8,18.7,41,4416.7,29.4,0,75.2,520000,49420,21.4,81.5,6.7,10.5,47.5,24.5,22.2,1.4,2.2,43.5
E05000299,12350,21.3,12.2,34,7687.5,57.5,1,68.1,390000,35030,19,68.8,3.9,25.6,30.5,37.4,23.3,1.2,2.6,22
E05000300,11450,20.6,15.1,37,7600,48,1,71.5,380000,40310,16.4,74.7,2.2,22,37.9,33.5,10.7,1.3,3.2,36.4
E05000301,13150,24.5,10.3,33,8733.3,48.4,4,64.8,290000,32130,38,48,25.4,23.7,29.2,53.1,15.3,1,3,38.3
E05000302,12000,22.2,11.6,34,7468.8,48.4,3,68.6,355000,35110,20.9,66.2,9.5,22.5,28.9,64.1,18.4,1.2,3,47.6
E05000303,11450,17.5,23,41,2544.4,34.5,5,68.6,555000,39210,34.8,65.8,15,16.9,35.3,53.3,45.8,1.4,2.1,41.7
E05000304,11700,23.8,10.9,33,9708.3,46.9,3,65.1,310000,32080,32.1,55.3,15.1,26.9,27.2,54.5,3.3,1,3.3,48.7
E05000305,10700,19.9,13.9,36,7066.7,42.9,0,71.5,363500,40210,26.4,66,9.6,22,40.7,31.2,19.7,1.1,3.2,59.4
E05000306,17100,22.4,13,35,3785.7,17.4,3,72.7,207500,35250,32.2,63.5,17.4,17.1,21.3,71.9,44.9,1,2.9,99.7
E05000307,12650,16.8,24.3,45,1901.5,6,2,75.6,320000,42250,13.6,87.9,4.8,6.3,23.3,32.3,55.9,1.3,2.3,39.3
E05000308,12700,18.5,20,42,3391.9,10.9,3,73.4,250000,34730,17.9,75.2,15.1,8.4,16.5,39.4,55.7,1.1,2.6,57.4
E05000309,12100,15.3,23.4,46,2608.7,11.4,0,74.3,365000,43790,11,89.2,3.9,6,24.3,36.3,31.3,1.6,2,33.3
E05000310,15400,23.5,12.3,34,1916.7,10.7,2,63,229000,29400,27.9,48.6,41.9,7.6,13.2,79.9,68.4,1,2.6,47.3
E05000311,12600,15.9,21,44,4960,7.3,1,75.7,296500,39740,10.8,86.9,4.4,8,17.9,26.1,24.2,1.3,2.4,47.4
E05000312,13750,18.6,18,40,1730.3,9.4,5,72.2,250000,37010,21.9,71.7,16,11.3,20.6,67.8,60.7,1.2,2.4,47.6
E05000313,13200,20.5,17.3,38,1326.5,9.1,0,69.1,250000,33590,20.5,70.1,20.6,7.6,15.3,45.7,75.2,1.3,2.1,39.5
E05000314,13200,22.1,16.8,38,3779.4,13,5,64.3,217000,29560,24.1,53.3,37.1,8.1,13.7,68.2,45.3,1,2.1,44.5
E05000315,13150,15.9,18.8,43,4500,7.9,2,75.6,275000,39890,10.5,84.6,7.2,7.3,19.2,55.8,26.1,1.4,2.1,64.8
E05000316,13100,19.4,19.6,40,4316.7,9.3,4,73.2,250000,35820,17.5,77.6,11.4,9.6,16.3,52.2,32.1,1.2,2.5,65
E05000317,13050,17,22.8,45,3237.5,7.4,1,74.9,295000,40010,11,87.5,5.4,6.4,19.9,40.8,32.4,1.4,2.2,54.3
E05000318,13150,18.9,18,40,754.4,10.9,0,72.4,240000,34470,15.1,76.8,8.9,13.2,14.9,74.1,79,1.3,2,45.9
E05000319,18700,19.6,13.2,35,5931,16.6,4,74.4,225000,37160,45.9,60.6,13,23.5,26.3,167.9,8.1,0.9,4.2,81
E05000320,13650,16.7,21,44,4981.5,7.7,0,76.1,272500,38130,29.5,74.6,11.3,12.6,18.9,65.2,18.7,1.2,3.2,57.3
E05000321,16550,21.6,15.9,37,2198.5,11.8,2,70.5,242000,33160,24.7,69.9,19.8,9.1,14,56.7,45.1,1.2,2.5,71.4
E05000322,13400,18.1,17.5,39,5096.2,9.4,6,77.3,280250,41740,30.5,74.9,8.8,14.5,24.3,40.8,16.7,1.3,2.6,47.1
E05000323,12950,15.4,23.8,46,571.1,6.1,6,76.4,420000,47580,11.5,89.2,1.9,7.9,27.9,49.7,82,1.4,1.9,41.7
E05000324,14050,24.7,9.8,32,6595.2,45.4,1,65,250000,31800,26.4,57.3,19.2,20.5,22.4,81.6,27.7,1.2,2.4,69.3
E05000325,15950,26.5,9.4,31,3545.5,42.7,3,64,250000,30700,27.9,50.8,25.2,19.9,21.4,96.5,32.2,1.1,3.1,101.5
E05000326,14750,15.9,10.8,27,4424.2,29.3,4,57.5,273750,34630,29.2,55.3,22,20.9,23.6,96.8,40.5,1.1,2.4,105.3
E05000327,12100,19.8,16.4,40,6000,16.7,0,77.6,400000,43970,13.1,82.2,7.3,9.4,29.9,33.8,17.7,1.4,2.1,69.1
E05000328,13200,22.7,12.4,34,4350,30.1,5,71,275000,35410,18,71.1,9.7,15.9,21.1,52.6,44.9,1.3,2.4,81.1
E05000329,12600,17.2,21.2,44,3048.8,17.5,3,76.8,500000,47380,16.3,83.8,7.2,8.2,38.1,41.9,33.4,1.5,1.7,69.6
E05000330,7750,19.7,17.1,40,500,13.3,4,75.7,310000,37990,22.7,64.2,24,10.2,25,64.3,85.5,1.4,1.4,50
E05000331,13250,23.2,9.7,33,546.8,43.2,14,71.7,209000,33170,37.4,49.6,14.8,33.6,24.2,272.2,29.5,1.1,2.6,85.5
E05000332,13700,22.5,11.8,34,3722.2,23.3,7,72.4,311000,37250,14.7,68.7,14.8,14.6,24.2,55.8,48.2,1.3,1.7,91.1
E05000333,10750,17.6,20.9,44,1725.8,15.9,4,76.6,521000,48770,9.4,86,4.4,8.8,36,33.2,55.7,1.6,2.1,78.1
E05000334,11900,20.1,16,39,5875,16.2,0,80.5,372500,43460,18.6,80.9,4.1,13.3,29.6,38.8,18.1,1.3,2.9,64.9
E05000335,10850,16.1,21.3,43,1452.7,31.8,4,73.3,470000,46550,43.8,64.1,14.2,19.8,46.4,46.3,61,1.3,2.2,38.9
